Time_s,Mdot_kg_s
0,0.531248708617244
0.0100000000000016,0.53039844106166
0.0200000000000031,0.529548173506076
0.0300000000000047,0.528697905950493
0.0400000000000063,0.527847638394908
0.0500000000000078,0.526997370839324
0.0600000000000094,0.526147103283741
0.0700000000000109,0.525296835728157
0.0800000000000125,0.524446568172573
0.0900000000000141,0.523596300616989
0.100000000000016,0.522746033061405
0.110000000000017,0.521895765505821
0.120000000000019,0.521041878426708
0.13000000000002,0.520185673750508
0.140000000000022,0.519326987637995
0.150000000000023,0.518466853904656
0.160000000000025,0.517606331564526
0.170000000000027,0.516746043403712
0.180000000000028,0.515885161493433
0.19000000000003,0.515022538758642
0.200000000000031,0.514157003382211
0.210000000000033,0.513288292634463
0.220000000000034,0.512417596351475
0.230000000000036,0.511546273600195
0.240000000000038,0.510675606245076
0.250000000000039,0.509805286040793
0.260000000000041,0.50893382588289
0.270000000000042,0.508059517613219
0.280000000000044,0.507181053477388
0.290000000000045,0.506299503109836
0.300000000000047,0.505416684704798
0.310000000000048,0.504534456236597
0.32000000000005,0.503653296933017
0.330000000000052,0.502771507707815
0.340000000000053,0.501885520275555
0.350000000000055,0.500994748417425
0.360000000000056,0.500098002524868
0.370000000000058,0.499198928859873
0.380000000000059,0.498298178377251
0.390000000000061,0.497398940588175
0.400000000000063,0.49649867536029
0.410000000000064,0.495597431778188
0.420000000000066,0.494691964270135
0.430000000000067,0.493783480889966
0.440000000000069,0.492871103682142
0.45000000000007,0.49195758838187
0.460000000000072,0.491042451723031
0.470000000000073,0.490125676335588
0.480000000000075,0.48920856863827
0.490000000000077,0.488289320101939
0.500000000000078,0.487368028208176
0.51000000000008,0.486444570439329
0.520000000000081,0.417561441091441
0.530000000000083,0.213468549659929
0.540000000000084,0.210628535872122
0.550000000000086,0.207838430120814
0.560000000000088,0.205093704109128
0.570000000000089,0.202392677297532
0.580000000000091,0.199734165060253
0.590000000000092,0.197117247241378
0.600000000000094,0.194540987950419
0.610000000000095,0.192004564986622
0.620000000000097,0.189507366721442
0.630000000000098,0.187048447938692
0.6400000000001,0.184626956805474
0.650000000000102,0.182242257881771
0.660000000000103,0.179893525589066
0.670000000000105,0.177580099468487
0.680000000000106,0.17530127070034
0.690000000000108,0.17305636608065
0.700000000000109,0.170844742997556
0.710000000000111,0.168665729757228
0.720000000000113,0.166518745250581
0.730000000000114,0.16440315037829
0.740000000000116,0.162318339684434
0.750000000000117,0.160263795545514
0.760000000000119,0.158238970750209
0.77000000000012,0.156243246690961
0.780000000000122,0.154276133086912
0.790000000000123,0.152337127164334
0.800000000000125,0.150425698342327
0.810000000000127,0.148541354248773
0.820000000000128,0.146683644904522
0.83000000000013,0.144852126546093
0.840000000000131,0.143046303538661
0.850000000000133,0.14126568431275
0.860000000000134,0.139509863536521
0.870000000000136,0.137778461695679
0.880000000000138,0.136071024036752
0.890000000000139,0.134387193271103
0.900000000000141,0.132726539961613
0.910000000000142,0.13108863697022
0.920000000000144,0.129473160837822
0.930000000000145,0.127879700335579
0.940000000000147,0.126307945842979
0.950000000000149,0.124757506725399
0.96000000000015,0.123228020800992
0.970000000000152,0.121719240532388
0.980000000000153,0.120230746273029
0.990000000000155,0.118762214343203
1.00000000000016,0.117313345360874
1.01000000000016,0.115883828418668
1.02000000000016,0.114473394570636
1.03000000000016,0.113081733685437
1.04000000000016,0.111708498615795
1.05000000000016,0.110353431690163
1.05766304702101,0.109325687283939
1.06766304702101,0.108002088783801
1.07766304702102,0.106695914950358
1.08766304702102,0.105406917083475
1.09766304702102,0.104134823071174
1.10766304702102,0.102879369361275
1.11766304702102,0.101640226956525
1.12766304702102,0.100417216372578
1.13766304702103,0.0992101539581853
1.14766304702103,0.0980187822004081
1.15766304702103,0.0968428696274518
1.16766304702103,0.0956821251901042
1.17766304702103,0.0945363172467014
1.18766304702103,0.093405316699094
1.19766304702103,0.0922892353043228
1.20766304702104,0.0911878442629686
1.21766304702104,0.0901009189883738
1.22766304702104,0.0890282390167844
1.23766304702104,0.0879695879194318
1.24766304702104,0.086924753216528
1.25766304702104,0.085893526293143
1.26766304702105,0.0848757023169376
1.27766304702105,0.08387108015772
1.28766304702105,0.082879462308796
1.29766304702105,0.0819006548100816
1.30766304702105,0.080934467172947
1.31766304702105,0.0799807123067594
1.32766304702105,0.0790392064470933
1.33766304702106,0.0781097690855766
1.34766304702106,0.0771922229013392
1.35766304702106,0.0762863936940337
1.36766304702106,0.0753921103183947
1.37766304702106,0.0745092046203061
1.38766304702106,0.0736375113743441
1.39766304702107,0.0727768682227643
1.40766304702107,0.0719271156159028
1.41766304702107,0.0710880967539593
1.42766304702107,0.0702596575301328
1.43766304702107,0.069441646475078
1.44766304702107,0.0686339147026551
1.45766304702108,0.0678363158569415
1.46766304702108,0.0670487060604776
1.47766304702108,0.066270943863718
1.48766304702108,0.0655028901956595
1.49766304702108,0.0647444083156194
1.50766304702108,0.0639953637661359
1.51766304702108,0.0632556243269646
1.52766304702109,0.0625250599701447
1.53766304702109,0.0618035428161097
1.54766304702109,0.0610909470908165
1.55766304702109,0.0603871490838694
1.56766304702109,0.0596920271076135
1.57766304702109,0.0590054614571761
1.5876630470211,0.0583273343714293
1.5976630470211,0.0576575299948551
1.6076630470211,0.0569959343402882
1.6176630470211,0.0563424352525155
1.6276630470211,0.0556969223727112
1.6376630470211,0.0550592871036873
1.6476630470211,0.0544294225759376
1.65766304702111,0.0538072236144579
1.66766304702111,0.0531925867063199
1.67766304702111,0.0525854099689835
1.68766304702111,0.0519855931193259
1.69766304702111,0.0513930374433717
1.70766304702111,0.0508076457667049
1.71766304702112,0.0502293224255473
1.72766304702112,0.0496579732384848
1.73766304702112,0.049093505478827
1.74766304702112,0.0485358278475831
1.75766304702112,0.0479848504470389
1.76766304702112,0.0474404847549199
1.77766304702113,0.0469026435991261
1.78766304702113,0.0463712411330236
1.79766304702113,0.0458461928112792
1.80766304702113,0.0453274153662246
1.81766304702113,0.0448148267847365
1.82766304702113,0.0443083462856209
1.83766304702113,0.0438078942974868
1.84766304702114,0.0433133924370995
1.85766304702114,0.0428247634881998
1.86766304702114,0.0423419313807781
1.87766304702114,0.0418648211707925
1.88766304702114,0.0413933590203193
1.89766304702114,0.0409274721781252
1.90766304702115,0.0404670889606509
1.91766304702115,0.0400121387333962
1.92766304702115,0.0395625518926965
1.93766304702115,0.0391182598478805
1.94766304702115,0.038679195003801
1.95766304702115,0.0382452907437281
1.96766304702115,0.0378164814125976
1.97766304702116,0.0373927023006043
1.98766304702116,0.0369738896271334
1.99766304702116,0.0365599805250201
2.00766304702116,0.0361509130251312
2.01766304702116,0.0357466260412593
2.02766304702116,0.0353470593553235
2.03766304702117,0.0349521536028683
2.04766304702117,0.0345618502588536
2.05766304702117,0.0341760916237297
2.06766304702117,0.0337948208097889
2.07766304702117,0.0334179817277895
2.08766304702117,0.0330455190738433
2.09766304702118,0.0326773783165616
2.10766304702118,0.0323135056844542
2.11766304702118,0.0319538481535742
2.12766304702118,0.0315983534354033
2.13766304702118,0.0312469699649725
2.14766304702118,0.0308996468892125
2.15766304702118,0.030556334055528
2.16766304702119,0.030216982000591
2.17766304702119,0.0298815419393487
2.18766304702119,0.0295499657542405
2.19766304702119,0.0292222059846186
2.20766304702119,0.0288982158163697
2.21766304702119,0.0285779490717309
2.2276630470212,0.0282613601992968
2.2376630470212,0.0279484042642134
2.2476630470212,0.0276390369385543
2.2576630470212,0.0273332144918749
2.2676630470212,0.0270308937819412
2.2776630470212,0.0267320322456298
2.2876630470212,0.0264365878899932
2.29766304702121,0.0261445192834899
2.30766304702121,0.0258557855473727
2.31766304702121,0.0255703463472341
2.32766304702121,0.0252881618847033
2.33766304702121,0.0250091928892943
2.34766304702121,0.024733400610398
2.35766304702122,0.0244607468094196
2.36766304702122,0.0241911937520543
2.37766304702122,0.0239247042007008
2.38766304702122,0.0236612414070095
2.39766304702122,0.0234007691045605
2.40766304702122,0.0231432515016716
2.41766304702123,0.0228886532743316
2.42766304702123,0.022636939559257
2.43766304702123,0.0223880759470692
2.44766304702123,0.0221420284755898
2.45766304702123,0.0218987157629349
2.46766304702123,0.02165540305028
2.47766304702123,0.021412090337625
2.48766304702124,0.0211687776249701
2.49766304702124,0.0209254649123152
2.50766304702124,0.0206821521996602
2.51766304702124,0.0204388394870053
2.52766304702124,0.0201955267743504
2.53766304702124,0.0199522140616954
2.54766304702125,0.0197089013490405
2.55766304702125,0.0194655886363855
2.56766304702125,0.0192222759237306
2.57766304702125,0.0189789632110757
2.58766304702125,0.0187356504984207
2.59766304702125,0.0184923377857658
2.60766304702125,0.0182490250731109
2.61766304702126,0.0180057123604559
2.62766304702126,0.017762399647801
2.63766304702126,0.017519086935146
2.64766304702126,0.0172757742224911
2.65766304702126,0.0170324615098362
2.66766304702126,0.0167891487971812
2.67766304702127,0.0165458360845263
2.68766304702127,0.0163025233718713
2.69766304702127,0.0160592106592164
2.70766304702127,0.0158158979465615
2.71766304702127,0.0155725852339066
2.72766304702127,0.0153292725212516
2.73766304702128,0.0150859598085966
2.74766304702128,0.0148426470959417
2.75766304702128,0.0145993343832868
2.76766304702128,0.0143560216706319
2.77766304702128,0.0141127089579769
2.78766304702128,0.0138693962453219
2.79766304702128,0.013626083532667
2.80766304702129,0.013382770820012
2.81766304702129,0.0131394581073572
2.82766304702129,0.0128961453947022
2.83766304702129,0.0126528326820473
2.84766304702129,0.0124095199693924
2.85766304702129,0.0121662072567373
2.8676630470213,0.0119228945440825
2.8776630470213,0.0116795818314275
2.8876630470213,0.0114362691187726
2.8976630470213,0.0111929564061176
2.9076630470213,0.0109496436934626
2.9176630470213,0.0107063309808078
2.9276630470213,0.0104630182681529
2.93766304702131,0.010219705555498
2.94766304702131,0.00997639284284291
2.95766304702131,0.00973308013018803
2.96766304702131,0.00948976741753316
2.97766304702131,0.00924645470487806
2.98766304702131,0.00900314199222318
2.99766304702132,0.00875982927956831
3.00766304702132,0.00851651656691343
3.01766304702132,0.00827320385425834
3.02766304702132,0.00802989114160346
3.03766304702132,0.00778657842894859
3.04766304702132,0.00754326571629371
3.05766304702133,0.00729995300363862
3.06766304702133,0.00705664029098352
3.07766304702133,0.00681332757832886
3.08766304702133,0.00657001486567377
3.09766304702133,0.00632670215301889
3.10766304702133,0.00608338944036402
3.11766304702133,0.00584007672770914
3.12766304702134,0.00559676401505405
3.13766304702134,0.00535345130239895
3.14766304702134,0.0051101385897443
3.15766304702134,0.0048668258770892
3.16766304702134,0.00462351316443432
3.17766304702134,0.00438020045177945
3.18766304702135,0.00413688773912457
3.19766304702135,0.00389357502646948
3.20766304702135,0.0036502623138146
3.21766304702135,0.00340694960115973
3.22766304702135,0.00316363688850463
3.23766304702135,0.00292032417584975
3.24766304702135,0.00267701146319488
3.25766304702136,0.00243369875054
3.26766304702136,0.00219038603788491
3.27766304702136,0.00194707332523003
3.28766304702136,0.00170376061257516
3.29766304702136,0.00146044789992006
