Time_s,Thrust_N
0,18.79570217
0.0002,18.85636117
0.0004,19.15965617
0.0006,19.40229216
0.0008,19.40229216
0.001,19.58426916
0.0012,19.76624616
0.0014,19.82690516
0.0016,19.94822316
0.0018,20.06954116
0.002,20.31217715
0.0022,20.55481315
0.0024,20.43349515
0.0026,20.67613115
0.0028,20.79744915
0.003,20.97942614
0.0032,20.97942614
0.0034,21.10074414
0.0036,21.10074414
0.0038,21.10074414
0.004,21.10074414
0.0042,21.34338014
0.0044,21.22206214
0.0046,21.28272114
0.0048,21.52535714
0.005,21.82865213
0.0052,16.6119782
0.0054,21.82865213
0.0056,22.01062913
0.0058,22.25326513
0.006,22.55656012
0.0062,22.61721912
0.0064,22.79919612
0.0066,22.85985512
0.0068,23.04183212
0.007,23.22380912
0.0072,23.22380912
0.0074,23.28446812
0.0076,23.46644511
0.0078,23.46644511
0.008,23.64842211
0.0082,23.89105811
0.0084,24.13369411
0.0086,24.3763301
0.0088,24.6189661
0.009,24.6796251
0.0092,24.9222611
0.0094,24.98292009
0.0096,25.16489709
0.0098,25.22555609
0.01,25.34687409
0.0102,25.46819209
0.0104,25.65016909
0.0106,25.83214608
0.0108,25.89280508
0.011,25.95346408
0.0112,26.19610008
0.0114,26.56005408
0.0116,26.62071307
0.0118,26.86334907
0.012,26.86334907
0.0122,27.22730307
0.0124,27.16664407
0.0126,27.34862107
0.0128,27.28796207
0.013,27.46993906
0.0132,27.46993906
0.0134,27.59125706
0.0136,27.83389306
0.0138,22.98117312
0.014,27.71257506
0.0142,27.95521106
0.0144,28.07652906
0.0146,28.13718806
0.0148,28.31916505
0.015,28.37982405
0.0152,28.44048305
0.0154,28.44048305
0.0156,28.44048305
0.0158,28.62246005
0.016,28.62246005
0.0162,28.62246005
0.0164,28.62246005
0.0166,28.74377805
0.0168,28.74377805
0.017,28.80443705
0.0172,28.86509605
0.0174,28.98641405
0.0176,29.10773204
0.0178,28.98641405
0.018,29.10773204
0.0182,29.10773204
0.0184,29.10773204
0.0186,29.41102704
0.0188,29.10773204
0.019,29.10773204
0.0192,28.98641405
0.0194,29.04707304
0.0196,28.86509605
0.0198,28.86509605
0.02,28.86509605
0.0202,28.98641405
0.0204,29.04707304
0.0206,28.98641405
0.0208,28.86509605
0.021,28.86509605
0.0212,28.74377805
0.0214,28.74377805
0.0216,28.62246005
0.0218,28.62246005
0.022,28.62246005
0.0222,28.62246005
0.0224,31.77672801
0.0226,28.37982405
0.0228,28.62246005
0.023,28.50114205
0.0232,28.50114205
0.0234,28.62246005
0.0236,28.50114205
0.0238,28.68311905
0.024,28.56180105
0.0242,28.44048305
0.0244,28.44048305
0.0246,28.37982405
0.0248,28.19784706
0.025,28.13718806
0.0252,28.07652906
0.0254,27.95521106
0.0256,27.95521106
0.0258,27.77323406
0.026,27.71257506
0.0262,27.46993906
0.0264,27.34862107
0.0266,27.46993906
0.0268,27.10598507
0.027,27.16664407
0.0272,26.86334907
0.0274,26.68137207
0.0276,26.74203107
0.0278,26.49939508
0.028,26.62071307
0.0282,26.74203107
0.0284,26.86334907
0.0286,27.10598507
0.0288,27.04532607
0.029,27.22730307
0.0292,27.22730307
0.0294,27.16664407
0.0296,27.22730307
0.0298,26.86334907
0.03,26.92400807
0.0302,26.74203107
0.0304,26.49939508
0.0306,26.43873608
0.0308,26.31741808
0.031,26.25675908
0.0312,26.31741808
0.0314,26.49939508
0.0316,26.43873608
0.0318,26.68137207
0.032,26.49939508
0.0322,26.74203107
0.0324,26.56005408
0.0326,26.80269007
0.0328,26.68137207
0.033,26.43873608
0.0332,26.56005408
0.0334,26.37807708
0.0336,26.31741808
0.0338,26.43873608
0.034,26.31741808
0.0342,26.31741808
0.0344,26.43873608
0.0346,26.49939508
0.0348,26.68137207
0.035,26.68137207
0.0352,26.86334907
0.0354,26.74203107
0.0356,26.68137207
0.0358,26.80269007
0.036,26.68137207
0.0362,26.56005408
0.0364,26.56005408
0.0366,26.62071307
0.0368,26.56005408
0.037,26.56005408
0.0372,26.56005408
0.0374,26.68137207
0.0376,26.86334907
0.0378,26.86334907
0.038,26.80269007
0.0382,27.04532607
0.0384,27.04532607
0.0386,27.22730307
0.0388,27.22730307
0.039,27.28796207
0.0392,27.22730307
0.0394,27.65191606
0.0396,27.71257506
0.0398,28.13718806
0.04,28.07652906
0.0402,28.37982405
0.0404,28.62246005
0.0406,28.92575505
0.0408,28.98641405
0.041,29.10773204
0.0412,29.10773204
0.0414,29.28970904
0.0416,29.53234504
0.0418,29.59300404
0.042,29.77498104
0.0422,30.07827603
0.0424,30.50288903
0.0426,30.80618402
0.0428,31.17013802
0.043,31.53409201
0.0432,31.83738701
0.0434,32.443977
0.0436,32.807931
0.0438,33.47517999
0.044,33.83913399
0.0442,34.44572398
0.0444,34.93099597
0.0446,35.53758596
0.0448,36.50812995
0.045,37.05406095
0.0452,37.96394593
0.0454,38.75251293
0.0456,39.41976192
