Time_s,Thrust_N
0.0462,0.0404794
0.0464,-0.020179599
0.0466,0.283115397
0.0468,0.222456398
0.047,0.343774397
0.0472,0.222456398
0.0474,0.222456398
0.0476,0.283115397
0.0478,0.222456398
0.048,0.586410394
0.0482,0.161797399
0.0484,0.768387391
0.0486,0.465092395
0.0488,0.343774397
0.049,0.525751394
0.0492,0.586410394
0.0494,1.011023388
0.0496,0.586410394
0.0498,0.586410394
0.05,0.707728392
0.0502,0.707728392
0.0504,0.768387391
0.0506,0.586410394
0.0508,0.829046391
0.051,0.88970539
0.0512,0.465092395
0.0514,0.88970539
0.0516,1.011023388
0.0518,0.404433396
0.052,0.950364389
0.0522,0.950364389
0.0524,1.011023388
0.0526,1.011023388
0.0528,1.071682388
0.053,1.193000386
0.0532,1.132341387
0.0534,1.132341387
0.0536,1.253659385
0.0538,1.314318385
0.054,1.374977384
0.0542,1.374977384
0.0544,1.374977384
0.0546,1.374977384
0.0548,4.10463235
0.055,1.67827238
0.0552,1.617613381
0.0554,1.617613381
0.0556,1.617613381
0.0558,1.738931379
0.056,1.617613381
0.0562,1.799590379
0.0564,1.799590379
0.0566,1.981567376
0.0568,1.738931379
0.057,1.860249378
0.0572,1.860249378
0.0574,1.981567376
0.0576,2.042226376
0.0578,1.920908377
0.058,2.284862373
0.0582,2.163544374
0.0584,2.284862373
0.0586,2.406180371
0.0588,2.284862373
0.059,2.46683937
0.0592,2.588157369
0.0594,2.52749837
0.0596,2.770134367
0.0598,2.709475368
0.06,2.891452365
0.0602,2.648816368
0.0604,2.770134367
0.0606,2.891452365
0.0608,3.012770364
0.061,3.073429363
0.0612,3.012770364
0.0614,3.194747362
0.0616,3.255406361
0.0618,3.31606536
0.062,3.558701357
0.0622,3.437383359
0.0624,3.558701357
0.0626,3.680019356
0.0628,3.680019356
0.063,3.801337354
0.0632,3.861996353
0.0634,3.801337354
0.0636,3.983314352
0.0638,4.10463235
0.064,4.589904344
0.0642,4.347268347
0.0644,4.347268347
0.0646,4.347268347
0.0648,4.347268347
0.065,4.650563344
0.0652,4.650563344
0.0654,4.589904344
0.0656,4.711222343
0.0658,4.771881342
0.066,4.95385834
0.0662,4.711222343
0.0664,5.075176338
0.0666,5.196494337
0.0668,5.257153336
0.067,5.257153336
0.0672,5.499789333
0.0674,5.014517339
0.0676,5.681766331
0.0678,5.74242533
0.068,5.924402328
0.0682,5.681766331
0.0684,5.863743329
0.0686,6.045720326
0.0688,6.167038325
0.069,6.167038325
0.0692,6.349015323
0.0694,6.349015323
0.0696,6.53099232
0.0698,6.652310319
0.07,7.137582313
0.0702,6.773628317
0.0704,7.016264314
0.0706,7.137582313
0.0708,7.198241312
0.071,7.38021831
0.0712,7.622854307
0.0714,7.562195308
0.0716,7.804831305
0.0718,7.865490304
0.072,7.986808302
0.0722,8.047467302
0.0724,8.1687853
0.0726,8.290103299
0.0728,8.411421297
0.073,8.411421297
0.0732,8.472080296
0.0734,8.775375293
0.0736,8.896693291
0.0738,8.896693291
0.074,9.01801129
0.0742,9.260647287
0.0744,9.503283284
0.0746,9.503283284
0.0748,9.563942283
0.075,9.80657828
0.0752,9.80657828
0.0754,10.04921428
0.0756,10.23119127
0.0758,10.23119127
0.076,10.47382727
0.0762,10.35250927
0.0764,10.71646327
0.0766,10.77712227
0.0768,10.95909927
0.077,11.08041726
0.0772,11.32305326
0.0774,11.44437126
0.0776,11.62634826
0.0778,11.62634826
0.078,11.86898425
0.0782,11.92964325
0.0784,12.11162025
0.0786,12.35425625
0.0788,12.29359725
0.079,12.59689225
0.0792,12.59689225
0.0794,12.59689225
0.0796,13.02150524
0.0798,12.83952824
0.08,12.96084624
0.0802,13.08216424
0.0804,13.26414124
0.0806,13.44611824
0.0808,13.44611824
0.081,13.62809523
0.0812,13.74941323
0.0814,13.87073123
0.0816,14.11336723
0.0818,13.99204923
0.082,14.05270823
0.0822,16.72170419
0.0824,14.29534422
0.0826,14.53798022
0.0828,14.41666222
0.083,14.41666222
0.0832,14.65929822
0.0834,14.78061622
0.0836,14.96259322
0.0838,14.96259322
0.084,14.96259322
0.0842,15.02325222
0.0844,15.02325222
0.0846,15.14457021
0.0848,15.20522921
0.085,15.32654721
0.0852,15.20522921
0.0854,15.20522921
0.0856,15.32654721
0.0858,15.26588821
0.086,15.20522921
0.0862,15.32654721
0.0864,15.38720621
0.0866,15.44786521
0.0868,15.56918321
0.087,15.44786521
0.0872,15.44786521
0.0874,15.44786521
0.0876,15.56918321
0.0878,15.50852421
0.088,15.56918321
0.0882,15.44786521
